Проект,Краткое описание,Категории,Цена,Заявки,Link
Сделать прототипы,Необходимо сделать прототипы сайта Пример сайта покажу Сделать нужно сегодня,['Дизайн интерфейсов и игр'],,17 заявок,https://www.weblancer.net/projects/dizajn-interfejsov-i-igr-13/sdelat-prototipy-1033736/
Написать новости для интернет-магазина спортивной тематики,"Требуется специалист для написания уникальных новостей для интернет-магазина товаров для водного спорта и отдыха на воде: виндсерфинг, водные лыжи, снорклинг, подводная охота, плаванье в бассейне, вей...",['Копирайтинг'],,9 заявок,https://www.weblancer.net/projects/kopirajting-48/napisat-novosti-dlya-internet-magazina-sportivnoj-tematiki-1033731/
Нужно изготовить видеоролик о ребрендинге компании (смене логотипа).,"Нужно изготовить видеоролик о ребрендинге компании (смене логотипа) - инфографика. ТЗ пока нет, но делаем. Напишите пожалуйста стоимость минуты и дайте ссылки на примеры ваших работ по изготовлению ро...",['Видеомонтаж'],,24 заявки,https://www.weblancer.net/projects/videomontazh-41/nuzhno-izgotovit-videorolik-o-rebrendinge-kompanii-smene-logotipa-1033730/
Нужно отредактировать PDF презентацию,Нужно отредактировать PDF презентацию,['Презентации'],,33 заявки,https://www.weblancer.net/projects/prezentatcii-60/nuzhno-otredaktirovat-pdf-prezentatciyu-1033726/
"Разработка логотипа и дизайна упаковки для эскимо ""замороженный банан","Приветствую! Необходимо выполнить разработку логотипа торговой марки, выпускающей продукцию, схожую с мороженым эскимо. Сам продукт это замороженный банан на деревянной палочке, облитый шоколадом и с ...","['Дизайн продукции', 'Логотипы и\xa0Знаки']",200$,49 заявок,https://www.weblancer.net/projects/dizajn-produktcii-18/razrabotka-logotipa-i-dizajna-upakovki-dlya-eskimo-zamorozhennyj-banan-1033723/
Доработать сайт на MODX,Все подробности после заполнения формы - https://forms.gle/vwGsHWGkPU792FFAA,['Веб-программирование'],,2 заявки,https://www.weblancer.net/projects/veb-programmirovanie-31/dorabotat-sajt-na-modx-1033722/
Доработка CS-Cart,"Нужен человек (не компания - общение напрямую без менеджеров), который разбирается и имеет опыт разработки под мультивендорный cs-cart. Придется как разрабатывать модули, так и править ядро, судя по в...",['Веб-программирование'],,1 заявка,https://www.weblancer.net/projects/veb-programmirovanie-31/dorabotka-cs-cart-1033720/
Комменты в Инстаграме,Нужно оставить несколько комментариев в Инстаграме. У вас должен быть реальный аккаунт инстаграм. Ссылку на свою страницу указывайте в заявке.,['Наполнение сайтов'],,61 заявка,https://www.weblancer.net/projects/napolnenie-sajtov-35/kommenty-v-instagrame-1033718/
Web-дизайн для страниц,"Нужен креативный веб-дизайнер. Нужно дорисовать страницу, которая не закончена. Если все понравится, то будем работать с остальными страницами на сайте. По ссылке представлена работа, которая не закон...",['Дизайн сайтов'],,28 заявок,https://www.weblancer.net/projects/dizajn-sajtov-9/web-dizajn-dlya-stranitc-1033717/
Требуется модератор в группу ВК,"На 10 дней требуется модератор группы. Тематика: дискуссионный клуб, группа не занимается продажами. Модерация постов, написание не менее одного нового поста с фотографией к нему в день, размещение св...",['Копирайтинг'],,29 заявок,https://www.weblancer.net/projects/kopirajting-48/trebuetsya-moderator-v-gruppu-vk-1033716/
Специалист по email рассылке,"Обязанности: - сбор базы подписчиков (если понадобится); - ведение email кампании: написание писем, составление email воронки (если понадобится), работа с email сервисами, отправка писем; - отчёт по п...",['Продающие тексты'],7$,11 заявок,https://www.weblancer.net/projects/prodayushie-teksty-95/spetcialist-po-email-rassylke-1033714/
Настроить шаблон templatemonster на Opencart,"Добрый день нужна настройка шаблона на Opencart templatemonster, добавить товары с фото наименованием и по категориям с описанием все предоставлю кол-во 75 шт. Так-же добавить текст описание о компани...",['Веб-программирование'],130$,7 заявок,https://www.weblancer.net/projects/veb-programmirovanie-31/nastroit-shablon-templatemonster-na-opencart-1033711/
Помощь с интернет магазином,Нужно быстро и по мелочи доделать косяки и недоработки в интернет магазине на базе advantshop. В дальнейшем возможно сотрудничество в плане администрирования. просьба писать тем кто знаком с Дианой пл...,"['Интернет-магазины', 'Веб-программирование']",,5 заявок,https://www.weblancer.net/projects/internet-magaziny-61/pomosh-s-internet-magazinom-1033710/
Необходимо перенести сайт с  Mezzanine на Wordpress,Блог dateshidze.ru минимальная задача - просто перенести на вордпресс со сменой шаблона дизайна. Вероятно сменим хостинг на специализированный для wordpres. Если сработаемся - то ещё нужно сделать все...,['Системы управления (CMS)'],,8 заявок,https://www.weblancer.net/projects/sistemy-upravleniya-cms-34/neobhodimo-perenesti-sajt-s-mezzanine-na-wordpress-1033708/
Нужно доделать страницы по страницы по дизайну uptut.ru,Добрый день! нужно допилить страниц!,['Дизайн сайтов'],,19 заявок,https://www.weblancer.net/projects/dizajn-sajtov-9/nuzhno-dodelat-stranitcy-po-stranitcy-po-dizajnu-uptut-ru-1033706/
Настройка доменов на IP сервера,Требуется помощь специалиста в настройке доменов и файлов на новый адрес сервера. Оплата сдельно на карту. Работу нужно сделать как можно скорее.,['Веб-программирование'],,7 заявок,https://www.weblancer.net/projects/veb-programmirovanie-31/nastrojka-domenov-na-ip-servera-1033699/
"Простейший, но яркий необычный мультилендинг по обучению шахматам","Копию чуть поправить какую или ещё что. Где-то у кого-то есть, слизать. Быстро и эффективно надо. Главное- яркая картинка в тёмно-белых тонах ))))) 500-1000 р. максимум. страниц 5-7 всего. это будет н...",['Сайты «под ключ»'],,11 заявок,https://www.weblancer.net/projects/sajty-pod-klyuch-58/prostejshij-no-yarkij-neobychnyj-mulytilending-po-obucheniyu-shahmatam-1033698/
Разработка сайта на основе готового дизайна и посадка на WP,Нужен сильный специалист по веб разработке / full stack. Бюджет есть. Верстка по БЭМу. HTML5. На флексах. Адаптивно. Кроссбраузерно. JS: можно использовать готовые плагины на jq типа select2 или slick...,['Веб-программирование'],,17 заявок,https://www.weblancer.net/projects/veb-programmirovanie-31/razrabotka-sajta-na-osnove-gotovogo-dizajna-i-posadka-na-wp-1033695/
Сверстать одну страницу сайта,Нужно сверстать одну страницу сайта. Сделать яркой и привлекающей клиентов,['HTML-верстка'],,57 заявок,https://www.weblancer.net/projects/html-verstka-32/sverstat-odnu-stranitcu-sajta-1033692/
Доработка сайта на 1С Bitrix,Добрый день. Требуется выполнить доработки шапке сайта. Прошу ознакомится с ТЗ. Сайт http://optilens.ru,['Системы управления (CMS)'],,7 заявок,https://www.weblancer.net/projects/sistemy-upravleniya-cms-34/dorabotka-sajta-na-1s-bitrix-1033690/
Парсинг 2Gis,Здравствуйте. Нужен список вейп-шопов (магазинов электронных сигарет) по Москве и МО (2 списка) С контактными данными. Дынные брать с 2gis Срок 1 час,['Веб-программирование'],5$,5 заявок,https://www.weblancer.net/projects/veb-programmirovanie-31/parsing-2gis-1033689/
Редактировать текст,Здравствуйте. Нужны услуги копирайтера. Нужно редактировать текст. Сжать в несколько. Сделать его более продающим. Текст соответственно скину.,['Редактирование и\xa0Корректура'],,80 заявок,https://www.weblancer.net/projects/redaktirovanie-i-korrektura-49/redaktirovat-tekst-1033687/
Подправить скрипт на C#,Работает на C# в сваязке с сайтом на node.js через АПИ (по стороне сайта поможет программист если что) Подробности кандидатам. Оставляйте ТЕЛЕГРАМ,['Веб-программирование'],,1 заявка,https://www.weblancer.net/projects/veb-programmirovanie-31/podpravit-skript-na-c-1033679/
Нужно Разработка back-end части платформы на node.js,Разработать бек инвестиционной платформы. Будет связка node + angular. Фронт практически готов. Начальные функции: 1. Регистрация авторизация и верификация пользователя 2. Профили пользователей 3. Доб...,['Веб-программирование'],,9 заявок,https://www.weblancer.net/projects/veb-programmirovanie-31/nuzhno-razrabotka-back-end-chasti-platformy-na-node-js-1033675/
Подключить онлайн оплату для физ.лица на сайте,"Посоветовать какой-то вид оплаты для физ.лица на сайте, и установить его. Желательно конечно чтобы оплата картой банковской была. Сайт с вебассист. Но можем рассмотреть и другой движок по вашему усмот...",['Интернет-магазины'],30$,3 заявки,https://www.weblancer.net/projects/internet-magaziny-61/podklyuchit-onlajn-oplatu-dlya-fiz-litca-na-sajte-1033673/
PhpWord и CodeIgniter,Нужен пример кода на CodeIgniter генерации .docх при помощи бесплатной библиотеки phpWord. Версия phpWord желательно последняя. В документе должна правильно отображаться кириллицаНужен пример таблицы ...,['Веб-программирование'],,3 заявки,https://www.weblancer.net/projects/veb-programmirovanie-31/phpword-i-codeigniter-1033670/
"Нужен человек, хорошо разбирающийся в wordpress",Надо внести ряд правок на сайт на wordpress https://maskadljavolos.ru,['Системы управления (CMS)'],,19 заявок,https://www.weblancer.net/projects/sistemy-upravleniya-cms-34/nuzhen-chelovek-horosho-razbirayushijsya-v-wordpress-1033669/
"Доработка новостного сайта на фреймворках Symfony, Laravel или Yii","Нужен ответственный человек для доработки сайта на Symfony, Laravel или Yii. Ведется разработка новой версии информационного сайта, есть готовая верстка. Требуется доработать сайт согласно ТЗ, перенес...",['Системы управления (CMS)'],,10 заявок,https://www.weblancer.net/projects/sistemy-upravleniya-cms-34/dorabotka-novostnogo-sajta-na-frejmvorkah-symfony-laravel-ili-yii-1033667/
Анализ сообщества в Контакте,Анализ и план развития сообщества в Контакте Продвижение белыми методами Таргет и Маркет платформа не подходит https://vk.com/samaradoverie,['Социальные сети (SMM и\xa0SMO)'],,7 заявок,https://www.weblancer.net/projects/sotcialynye-seti-smm-i-smo-89/analiz-soobshestva-v-kontakte-1033664/
Рерайт статей о коронавирусе,"Нужно сделать рерайт последних новостей о коронавирусе для наполнения сайта. ""Продающие"" тексты не нужны, надо чтобы легко и интересно читалось, и уникальность не менее 90% Материала полно. ...",['Рерайтинг'],,104 заявки,https://www.weblancer.net/projects/rerajting-94/rerajt-statej-o-koronaviruse-1028400/
"Дизайн сайта для строительной компании ""Комфорт"" по ремонту квартир","Доброго времени суток. Требуется дизайн сайта для строительной компании ""Комфорт"" по ремонту квартир с мобильной версией (упрощенной) Landing Page 1 страница. Стиль должен быть современный и...",['Дизайн сайтов'],,82 заявки,https://www.weblancer.net/projects/dizajn-sajtov-9/dizajn-sajta-dlya-stroitelynoj-kompanii-komfort-po-remontu-kvartir-1033661/
Продающий текст для музыкального приложения,"Нужно сделать текст для рекламного предложения ютуберам. В тексте не должно быть doc, pdf и картинок. Alt code использовать можно, а также стили html. Рассылаться будет через gmail. Задача текста, заи...",['Продающие тексты'],,4 заявки,https://www.weblancer.net/projects/prodayushie-teksty-95/prodayushij-tekst-dlya-muzykalynogo-prilozheniya-1033660/
HTML верстка сайта,"Необходимо сверстать шаблон готового сайта казино Пин Ап https://cazinopinup.com с готовыми фреймами игровых автоматов, ничего не добавлять и удалять не нужно.",['HTML-верстка'],,12 заявок,https://www.weblancer.net/projects/html-verstka-32/html-verstka-sajta-1033662/
Поменять фон фотографии товара на белый,Нужно поменять фон с цветного на белый. На всех фото будет изображен шарм на руке с цветным фото. Нужно чтобы фон был белый(рука должна остаться). Если размер фото меньше 1000*500 - увеличить до этих ...,['Обработка фотографий'],,182 заявки,https://www.weblancer.net/projects/obrabotka-fotografij-21/pomenyat-fon-fotografii-tovara-na-belyj-1033658/
Нужна консультация умного маркетолога,"По раскрутке (рекламе) уроков шахмат удалённо Кто потратит час на меня голосом. покажет и подскажет все тонкости что и как делать надо, Тому дам 300 р. Рекламу Яндекса Гугла не предлагайте. В основном...",['Маркетинговый анализ'],3$,3 заявки,https://www.weblancer.net/projects/marketingovyj-analiz-102/nuzhna-konsulytatciya-umnogo-marketologa-1033653/
Разработать приложение на OS Android,Необходимо разработать приложение развлекательной тематики - казино. Количество экранов 2: 1) сам слот; 2) настройка. Вся графика отрисована нами. Предлагайте свои цены и сроки разработки. Спасибо!,['Мобильные приложения'],,8 заявок,https://www.weblancer.net/projects/mobilynye-prilozheniya-28/razrabotat-prilozhenie-na-os-android-1033652/
Внести правки на сайт на wordpress,"Необходимо ввести правки на сайт на wordpress https://maskadljavolos.ru Пишите свои сроки и цены. Хотелось бы чтоб не вы сами вносили правки, а давали инструкцию мне через демонстрацию экрана. Перечен...",['Системы управления (CMS)'],,4 заявки,https://www.weblancer.net/projects/sistemy-upravleniya-cms-34/vnesti-pravki-na-sajt-na-wordpress-1033645/
Дейтинг iOS,"Клиент iOS нативно. ТЗ, дизайн и API в наличии. 50к руб. Бюджет окончательный. Оплата этапами по факту.",['Мобильные приложения'],,8 заявок,https://www.weblancer.net/projects/mobilynye-prilozheniya-28/dejting-ios-1033636/
Чат iOS + Android,"Только Kotlin + Swift. ТЗ, дизайн и API предоставлю. Можно взять любую часть проекта. 50к руб. за платформу соответственно. Оплата этапами по факту.",['Мобильные приложения'],,6 заявок,https://www.weblancer.net/projects/mobilynye-prilozheniya-28/chat-ios-android-1033635/
БД access в Delphi та обработка данных с бд. Простая программа  Delphi,"Нужно создать и подключить бд с таблицами(подробнее расскажу исполнителю),сделать формы с функциями обработки данных с этой бд(удаление,редактирование,проверки). Обязательно выполнение на Delphi из RA...",['Базы данных'],,9 заявок,https://www.weblancer.net/projects/bazy-dannyh-25/bd-access-v-delphi-ta-obrabotka-dannyh-s-bd-prostaya-programma-delphi-1033629/
Необходимо писать информационные тексты для сайта про компьютеры,"Ищу рерайтеров, способных писать тексты на информационный сайт компьютерной тематики. Нужно будет написать более 200 статей. Четкие Технические Задания, ключевые слова и рекомендации предоставляются н...",['Рерайтинг'],1000$,36 заявок,https://www.weblancer.net/projects/rerajting-94/neobhodimo-pisat-informatcionnye-teksty-dlya-sajta-pro-kompyyutery-1027896/
"Обзвонить клиентов, собрать информацию.",Тема-компании по производству и продаже изделий из зерновых. Необходимо обзвонить отделы которые занимаются импортом и предложить сотрудничество. Узнать какие минимальные объёмы и условия необходимы д...,['Базы данных'],,4 заявки,https://www.weblancer.net/projects/bazy-dannyh-25/obzvonit-klientov-sobrat-informatciyu-1033623/
Сделать лендинг,Привет всем. Нужно сделать лендинг. Для тестового задания оставляем прототип - https://ninjamock.com/s/88FFDGx От вас нужно 1. Сколько нужно времени для реализации такого лендинга? 2. Какая цена ленди...,['Дизайн сайтов'],,44 заявки,https://www.weblancer.net/projects/dizajn-sajtov-9/sdelat-lending-1033618/
"Парсинг, сбор номеров","Здравствуйте! Нужна готовая база номеров, парсинг, обьявления, подходят любые варианты! Цена ДОГОВОРНАЯ, ищу специалиста на долгосрочной основе, поэтому открыт к любым (главное интересным 😉...",['Базы данных'],,5 заявок,https://www.weblancer.net/projects/bazy-dannyh-25/parsing-sbor-nomerov-1033620/
Проект гостиницы с рестораном,Добрый. Ищу исполнителя . Нужен техническийпроект мини гостиницы с рестораном.. Нужны чертежи с размерами. Размеры фиксированные 12х20 метров. 1й этаж ресторан на два отдельных зала. ( Кухня посередин...,['Интерьеры и\xa0Экстерьеры'],,12 заявок,https://www.weblancer.net/projects/interyery-i-eksteryery-15/proekt-gostinitcy-s-restoranom-1033619/
Доработать сайт на modx,"Требуется доработать сайт созданный на modx + minishop2 + SeoFilter https://magazinplitki.by настроить сайт под сео, сделать карту сайта чтоб автоматически попадали страницы из SeoFilter, микроразметк...",['Системы управления (CMS)'],,4 заявки,https://www.weblancer.net/projects/sistemy-upravleniya-cms-34/dorabotat-sajt-na-modx-1033617/
Изменить размер приложения.,"В айпад мини 3 есть родное приложение под названием слайд овер ""не уверен"". И мне нужно изменить параметры размера выдвижной шторки, что бы оно вытягивалось не на 640 пикселей а почти до кон...",['Мобильные приложения'],,1 заявка,https://www.weblancer.net/projects/mobilynye-prilozheniya-28/izmenit-razmer-prilozheniya-1033616/
Помощь по сайту на базе WordPress,"Вообщем, наш сайт kristianland.ru был с самого начала сделан плохо, разработчиками которые взяли с нас деньги, но по итогу со временем выявилось множество косяков. Нужно исправить самые основные: 1) П...",['Системы управления (CMS)'],,9 заявок,https://www.weblancer.net/projects/sistemy-upravleniya-cms-34/pomosh-po-sajtu-na-baze-wordpress-1033611/
Разработка интеллектуальных транспортных систем,Приглашаем опытного разработчика присоединиться к команде разработки «Интеллектуальных транспортных систем»: Требуемые навыки Опыт в разработке ИТС Знание Ruby · Ruby on Rails · Python · PostgreSQL · ...,['Системное программирование'],,4 заявки,https://www.weblancer.net/projects/sistemnoe-programmirovanie-24/razrabotka-intellektualynyh-transportnyh-sistem-1033613/
Консультация по instagram профилю,"Всем позитивного настроения и здоровья!:) Наш профиль инстаграмм - Профиль Instagram Навыков ведения профиля 0, опыта 0. Есть желание, понимание, вдохновение. Во время консультации хотелось бы получит...",['Социальные сети (SMM и\xa0SMO)'],,32 заявки,https://www.weblancer.net/projects/sotcialynye-seti-smm-i-smo-89/konsulytatciya-po-instagram-profilyu-1033612/
"Курсовая: ""Генезис формирования амортизационной политики корпорации""","Курсовая на 35 страницах, оригинальность 75% и выше. Срок до 07.04.2020","['Рефераты, Курсовые и\xa0Дипломы']",30$,1 заявка,https://www.weblancer.net/projects/referaty-kursovye-i-diplomy-47/kursovaya-genezis-formirovaniya-amortizatcionnoj-politiki-korporatcii-1033610/
Нужен программист. Разработка киберспортивной площадки.,"Нужен программист(ы) на разработку киберспортивного проекта. Человек должен разбираться в киберспорте, чтобы не приходилось все объяснять. Необходимые навыки: - Умение парсить данные. - Работа с api. ...",['Веб-программирование'],,14 заявок,https://www.weblancer.net/projects/veb-programmirovanie-31/nuzhen-programmist-razrabotka-kibersportivnoj-ploshadki-1033218/
Приложение,"Всем привет, кто возьмется сделать приложение? А-ля Recordgram, то есть все сейчас дома на карантине сидят...с ума со скуки сходят... а им нужно мерятся в домашних условиях чем то, например даем им ре...",['Мобильные приложения'],,9 заявок,https://www.weblancer.net/projects/mobilynye-prilozheniya-28/prilozhenie-1033604/
Правки в функционал вывода данных (WP),"Есть – сайт на WordPress по коронавирусу с выводом статистики Нужно – из существующих данных настроить отображение дополнительной статистики, а именно: - добавить несколько полей - добавить разницу ме...",['Веб-программирование'],8$,5 заявок,https://www.weblancer.net/projects/veb-programmirovanie-31/pravki-v-funktcional-vyvoda-dannyh-wp-1033600/
"Сделать сайт, спарсить БД.","Есть сайт site1.ru на html (сделан скриптом клонирования). Все данные(почти) он тянет с сайта оригинала site2.ru и кэширует у себя, т.е. второй раз не обращается за теми же данными. Так работает почти...",['Веб-программирование'],,3 заявки,https://www.weblancer.net/projects/veb-programmirovanie-31/sdelat-sajt-sparsit-bd-1033599/
Создать аватарку для инстаграм профиля,"Ищу художника для создания иллюстраций к постам в профиле instagram.com/blogermaker для постоянного сотрудничества (12 иллюстраций нужно будет отрисовать в ближайшее время, дальше - по 3 в неделю).Про...",['Иллюстрации и\xa0Рисунки'],,28 заявок,https://www.weblancer.net/projects/illyustratcii-i-risunki-11/sozdat-avatarku-dlya-instagram-profilya-1033597/
"Java разработчик (полная занятость, удаленно)",Нужен разработчик с уверенным знанием Java/Kotlin для разработки инвестиционной платформы. Требования к кандидату и надежность: ответственность + принимает на себя ответственность за реализуемый функц...,['Прикладное ПО'],1000$,7 заявок,https://www.weblancer.net/vacancies/prikladnoe-po-23/java-razrabotchik-polnaya-zanyatosty-udalenno-1033590/
Создать Landing Page,"Создать landing page по примеру: https://perfkirill.ru/portfolio/razrabotka-landing-page-po-prodazhe-napolnyix-pokryitij На хостинге настроить CMS таким образом, чтобы в зависимости от региона выводил...",['Сайты «под ключ»'],,38 заявок,https://www.weblancer.net/projects/sajty-pod-klyuch-58/sozdat-landing-page-1033585/
Ускорить загрузку сайта,"Есть сайт udt.by. Очень большое время загрузки первого байта. Нужно ускорить. Возможно оптимизацией запросов, кешированием. Сайт php+mysql. Сделан на simphony.",['Веб-программирование'],,2 заявки,https://www.weblancer.net/projects/veb-programmirovanie-31/uskorit-zagruzku-sajta-1033584/
Информация для вебинара по удаленной работе.,"Нужно найти информацию, которую можно использовать для обучения новичков удаленной работы в интернете. В пяти направлениях: как заработать в инстаграмм, телеграмм, фейсбук, ютуб, продавая товары из ки...",['Копирайтинг'],10$,19 заявок,https://www.weblancer.net/projects/kopirajting-48/informatciya-dlya-vebinara-po-udalennoj-rabote-1033580/
Web-разработчик для создания обучающих видеороликов,"Нужен практикующий разработчик, который сможет создать ряд обучающих видеороликов по основам web-разработки (план можно составить вместе) для людей не из этой сферы или знакомых с ней поверхностно. Це...",['Веб-программирование'],,4 заявки,https://www.weblancer.net/projects/veb-programmirovanie-31/web-razrabotchik-dlya-sozdaniya-obuchayushih-videorolikov-1033574/
Правки на Wordpress сайте,нужно вносить правки на вордпресс сайт сайт на 4х языках настройка вуукомерс,['Системы управления (CMS)'],,9 заявок,https://www.weblancer.net/projects/sistemy-upravleniya-cms-34/pravki-na-wordpress-sajte-1033570/
Сделать сайт,"Добрый день! Задача - создать сайт, похожий на https://ytstar.ru Есть сайт https://ytstar.ru для накрутки просмотров, лайков, подписчиков и т.д на youtube. На этом сайте пользователи покупают накрутку...",['Сайты «под ключ»'],,39 заявок,https://www.weblancer.net/projects/sajty-pod-klyuch-58/sdelat-sajt-1033569/
Редизайн сайта,Добрый день. Необходим редизайн данного сайта https://www.krasotaimedicina.ru/ Стиль Flat. Сразу хотелось бы услышать вашу оценку по срокам исполнения. И прочие комментарии. Референс в приложении. Про...,['Дизайн сайтов'],,43 заявки,https://www.weblancer.net/projects/dizajn-sajtov-9/redizajn-sajta-1033567/
Доработать форму на WP,"Есть сайт на WP. Сейчас на него внедряется форма. Код формы перенесен, необходимо добавить обработчик идоработать верстку, сделать в стилях сайта. Так же после этого необходимо добавить попап для пере...",['Системы управления (CMS)'],,6 заявок,https://www.weblancer.net/projects/sistemy-upravleniya-cms-34/dorabotat-formu-na-wp-1033566/
Переработать дз по веб-технологиям (сайт php/css/oracle + UML диаграмм,"Задачаереработать дз по веб-технологиям. Стек php/css/html, СУБД Oracle Database 12, oci, nginx. Есть готовое дз: php-скрипты, css, sql-скрипты и РПЗ (UML диаграммы со спецификацией). Предполагается, ...",['Веб-программирование'],,нет заявок,https://www.weblancer.net/projects/veb-programmirovanie-31/pererabotat-dz-po-veb-tehnologiyam-sajt-php-css-oracle-uml-diagramm-1033565/
Доделать сайт на HTML,Приветствую нужно доделать сайт на html. Создать и оформить новые страницы. ТЗ https://docs.google.com/document/d/1zgkOJ6CwAdljMAZBREsbfR46XVxlSWAXgESVMJyBDmM/edit Кто готов взять прошу написать стоим...,['HTML-верстка'],,23 заявки,https://www.weblancer.net/projects/html-verstka-32/dodelat-sajt-na-html-1033563/
Laravel программист реализовать задачу,Laravel программист реализовать задачу,['Системное программирование'],,3 заявки,https://www.weblancer.net/projects/sistemnoe-programmirovanie-24/laravel-programmist-realizovat-zadachu-1033562/
Сделать ленивую загрузку (Lazy loading) для гиф картинок.,1. Сделать на сайте ленивую загрузку (Lazy loading) для гиф картинок. Снять нагрузку с сайта. Фото для ленивой загрузки есть. 2. Сделать отдельную моб версию сайта и оптимизировать ее (если человек за...,['Сайты «под ключ»'],,4 заявки,https://www.weblancer.net/projects/sajty-pod-klyuch-58/sdelat-lenivuyu-zagruzku-lazy-loading-dlya-gif-kartinok-1033558/
Создать 4 креатива,Нужно создать 4 креатива для размещения рекламы в инстаграме (2 для сториз и 2 для ленты). Своих фото для подобной рекламы нет. Тематика акаунта - одежда для новорожденных. Цель рекламы - популяризаци...,['Контекстная реклама'],,8 заявок,https://www.weblancer.net/projects/kontekstnaya-reklama-88/sozdat-4-kreativa-1033557/
Написание серверной программы,Необходимо написать серверную программу работающую с изображением с камер наблюдения. Т.з. прилагаю. В своем предложении указывайте стоимость Вашей работы и примерные сроки на ее реализацию.,['Прикладное ПО'],,3 заявки,https://www.weblancer.net/projects/prikladnoe-po-23/napisanie-servernoj-programmy-1033555/
Создать похожую работу,Здравствуйте. Мне необходимо создать похожую работу: Пример работы,['Переводы'],,6 заявок,https://www.weblancer.net/projects/perevody-50/sozdat-pohozhuyu-rabotu-1033547/
Установить сайт на WordPress,"За 1-2 дня натянуть верстку на WordPress. Сайт простой, верстку отправлю рассмотрю всех кандидатов. Срочно",['Системы управления (CMS)'],,25 заявок,https://www.weblancer.net/projects/sistemy-upravleniya-cms-34/ustanovit-sajt-na-wordpress-1033549/
"Контрольная из 4-х заданий по экономическому анализу, учету и аудиту","Здравствуйте, уважаемые мастера. Нужно выполнит контрольную работу из четырёх заданий по предмету ""экономический анализ, учет и аудит"". Цена работы 1200 рублей - по 300 за каждую решенную за...","['Контрольные, Задачи и\xa0Тесты']",15$,3 заявки,https://www.weblancer.net/projects/kontrolynye-zadachi-i-testy-99/kontrolynaya-iz-4-h-zadanij-po-ekonomicheskomu-analizu-uchetu-i-auditu-1033548/
Вывод похожих (релевантных) записей карточке товара,Реализовать функционал блока похожих (релевантных) записей. Обход записей по крону. Информация о cms: самописная PHP Version 7.3.12 MySQL Version 5.7.27-log Шаблонизатор близок к Smarty Приступить сег...,['Веб-программирование'],,5 заявок,https://www.weblancer.net/projects/veb-programmirovanie-31/vyvod-pohozhih-relevantnyh-zapisej-kartochke-tovara-1032911/
Составить 30 подборок видеороликов из Tik-Tok с описанием,"Необходимо наполнить сайт тридцатью подборками видеороликов из Tik Tok с описанием. Берете тему, например, какой-нибудь новый челлендж (ищется через запрос tiktok challenge, смотрим в google news). На...",['Рерайтинг'],,29 заявок,https://www.weblancer.net/projects/rerajting-94/sostavit-30-podborok-videorolikov-iz-tik-tok-s-opisaniem-1033545/
Верстка документов с word/excel в html,есть документы word/excel надо их переверстать в чистый html чтобы в режыме печати выглядело именно так как в исходном файле word/excel. Пример файла ворд есть,['HTML-верстка'],,22 заявки,https://www.weblancer.net/projects/html-verstka-32/verstka-dokumentov-s-word-excel-v-html-1033543/
Специалисты по проектированию и дизайну фасадов частных домов,"Фасадная компания Артель – строительная компания, которая с 2007 года занимается утеплением и декоративной отделкой фасадов частных домов, офисов, торговых центров и административных зданий любой слож...",['3D-графика'],,14 заявок,https://www.weblancer.net/projects/3d-grafika-12/spetcialisty-po-proektirovaniyu-i-dizajnu-fasadov-chastnyh-domov-1033372/
Вывести значение поля на страницу Joomla,Здравствуйте. В материале Joomla надо вывести значение поля keywords. (тоесть приспособить поле для вывода информации),['Системы управления (CMS)'],,6 заявок,https://www.weblancer.net/projects/sistemy-upravleniya-cms-34/vyvesti-znachenie-polya-na-stranitcu-joomla-1033539/
Дизайн нескольких страниц для показа документации,Нам нужен дизайн нескольких страниц для показа документации. Предпочтение отдается современноу минималистичному дизайну. Присылайте портфолио и примеры.,['Дизайн сайтов'],,41 заявка,https://www.weblancer.net/projects/dizajn-sajtov-9/dizajn-neskolykih-stranitc-dlya-pokaza-dokumentatcii-1033536/
Написание отзывов на ЯндексМаркет,Написать минимально необходимое количество отзывов дляподдержания 5 звёзд на ЯндексМаркет. Рассмотрим вашу цену.,['Копирайтинг'],,56 заявок,https://www.weblancer.net/projects/kopirajting-48/napisanie-otzyvov-na-yandeksmarket-1033535/
Нужен программист на Host CMS,"Нужен программист на Host CMS задание тут https://docs.google.com/document/d/1iFKRfQBy3ZlKjv69fkZU82mdu_G27VZT-lCU5Caygys/edit?usp=sharing Ответ от вас Антибот = ""Не Бот"" без этого ответа уд...",['Системы управления (CMS)'],,3 заявки,https://www.weblancer.net/projects/sistemy-upravleniya-cms-34/nuzhen-programmist-na-host-cms-1033530/
Видеомонтаж,Смонтировать красивое видео для девушки на день рождения,['Видеомонтаж'],,130 заявок,https://www.weblancer.net/projects/videomontazh-41/videomontazh-1033529/
Нарисовать шапку сайта,"Всем привет! Нужно нарисовать 3 шт шапки сайта , в разной стилистике https://tokarmebel.com/mebel-dlya-kafe-barov-restoranov Жду Ваших предложений Спасибо",['Иконки и\xa0Пиксель-арт'],,21 заявка,https://www.weblancer.net/projects/ikonki-i-piksely-art-14/narisovat-shapku-sajta-1033526/
